from,to,distance
SNLA,WASH,5.0
SNLA,SUNN,3.0
SNLA,STAR,5.0
SNLA,CHIC,4.0
SNLA,SACR,3.0
SNLA,AOFA,6.0
SNLA,HOUS,3.0
SNLA,NASH,4.0
SNLA,NEWY,7.0
SNLA,ALBQ,1.0
SNLA,LOND,5.0
SNLA,KANS,3.0
SNLA,BOST,6.0
SNLA,ELPA,2.0
SNLA,BOIS,3.0
SNLA,LSVN,3.0
SNLA,PNWG,3.0
SNLA,AMST,6.0
SNLA,JGI,4.0
SNLA,LLNL,4.0
SNLA,NREL,3.0
SNLA,BNL,8.0
SNLA,SNLL,4.0
SNLA,PPPL,6.0
SNLA,ANL,6.0
SNLA,SNLA,0.0
SNLA,FNAL,6.0
SNLA,SLAC,4.0
SNLA,NERSC,4.0
SNLA,PANTEX,4.0
SNLA,CERN-513,7.0
ORNL,DENV,4.0
ORNL,WASH,2.0
ORNL,SUNN,4.0
ORNL,STAR,3.0
ORNL,CHIC,2.0
ORNL,SACR,3.0
ORNL,AOFA,3.0
ORNL,HOUS,3.0
ORNL,NASH,2.0
ORNL,NEWY,4.0
ORNL,ATLA,1.0
ORNL,ALBQ,5.0
ORNL,LOND,4.0
ORNL,KANS,3.0
ORNL,BOST,4.0
ORNL,ELPA,4.0
ORNL,BOIS,5.0
ORNL,LSVN,5.0
ORNL,PNWG,4.0
ORNL,AMST,5.0
ORNL,JGI,4.0
ORNL,LLNL,5.0
ORNL,NREL,5.0
ORNL,BNL,5.0
ORNL,SNLL,4.0
ORNL,PPPL,3.0
ORNL,SRS,2.0
ORNL,ANL,4.0
ORNL,SNLA,4.0
ORNL,ORNL,0.0
ORNL,FNAL,4.0
ORNL,SLAC,5.0
ORNL,NERSC,5.0
ORNL,PANTEX,4.0
ORNL,CERN-513,6.0
FNAL,DENV,4.0
FNAL,WASH,3.0
FNAL,SUNN,4.0
FNAL,STAR,1.0
FNAL,CHIC,2.0
FNAL,SACR,3.0
FNAL,AOFA,2.0
FNAL,HOUS,4.0
FNAL,NASH,3.0
FNAL,NEWY,3.0
FNAL,ALBQ,5.0
FNAL,LOND,3.0
FNAL,KANS,3.0
FNAL,BOST,2.0
FNAL,ELPA,5.0
FNAL,BOIS,5.0
FNAL,LSVN,5.0
FNAL,PNWG,4.0
FNAL,AMST,3.0
FNAL,JGI,4.0
FNAL,LLNL,5.0
FNAL,NREL,5.0
FNAL,BNL,4.0
FNAL,SNLL,4.0
FNAL,PPPL,4.0
FNAL,ANL,2.0
FNAL,SNLA,4.0
FNAL,FNAL,0.0
FNAL,SLAC,5.0
FNAL,NERSC,5.0
FNAL,PANTEX,5.0
FNAL,CERN-513,4.0
SLAC,DENV,3.0
SLAC,WASH,4.0
SLAC,SUNN,1.0
SLAC,STAR,4.0
SLAC,CHIC,3.0
SLAC,SACR,2.0
SLAC,AOFA,5.0
SLAC,HOUS,3.0
SLAC,NASH,4.0
SLAC,NEWY,6.0
SLAC,ALBQ,4.0
SLAC,LOND,4.0
SLAC,KANS,4.0
SLAC,BOST,5.0
SLAC,ELPA,2.0
SLAC,BOIS,4.0
SLAC,LSVN,2.0
SLAC,PNWG,3.0
SLAC,AMST,5.0
SLAC,JGI,3.0
SLAC,LLNL,2.0
SLAC,NREL,4.0
SLAC,BNL,7.0
SLAC,SNLL,3.0
SLAC,PPPL,5.0
SLAC,ANL,5.0
SLAC,SNLA,3.0
SLAC,FNAL,5.0
SLAC,SLAC,0.0
SLAC,NERSC,2.0
SLAC,PANTEX,4.0
SLAC,CERN-513,6.0
NERSC,DENV,3.0
NERSC,WASH,4.0
NERSC,SUNN,1.0
NERSC,STAR,4.0
NERSC,CHIC,3.0
NERSC,SACR,2.0
NERSC,AOFA,5.0
NERSC,HOUS,3.0
NERSC,NASH,4.0
NERSC,NEWY,6.0
NERSC,ALBQ,4.0
NERSC,LOND,4.0
NERSC,KANS,4.0
NERSC,BOST,5.0
NERSC,ELPA,2.0
NERSC,BOIS,4.0
NERSC,LSVN,2.0
NERSC,PNWG,3.0
NERSC,AMST,5.0
NERSC,JGI,3.0
NERSC,LLNL,2.0
NERSC,NREL,4.0
NERSC,BNL,7.0
NERSC,SNLL,3.0
NERSC,PPPL,5.0
NERSC,ANL,5.0
NERSC,SNLA,3.0
NERSC,FNAL,5.0
NERSC,SLAC,2.0
NERSC,NERSC,0.0
NERSC,PANTEX,4.0
NERSC,CERN-513,6.0
PANTEX,DENV,3.0
PANTEX,WASH,3.0
PANTEX,SUNN,3.0
PANTEX,STAR,4.0
PANTEX,CHIC,3.0
PANTEX,SACR,4.0
PANTEX,AOFA,4.0
PANTEX,HOUS,1.0
PANTEX,NASH,2.0
PANTEX,NEWY,5.0
PANTEX,ALBQ,6.0
PANTEX,LOND,5.0
PANTEX,KANS,2.0
PANTEX,BOST,5.0
PANTEX,ELPA,2.0
PANTEX,BOIS,4.0
PANTEX,LSVN,4.0
PANTEX,PNWG,4.0
PANTEX,AMST,6.0
PANTEX,JGI,5.0
PANTEX,LLNL,4.0
PANTEX,NREL,4.0
PANTEX,BNL,6.0
PANTEX,SNLL,5.0
PANTEX,PPPL,4.0
PANTEX,ANL,5.0
PANTEX,SNLA,5.0
PANTEX,FNAL,5.0
PANTEX,SLAC,4.0
