Timesteps,95% Efficiency: (0.95),75% Efficiency: (0.75),85% Efficiency: (0.85)
316904,119,109,118
316923,119,109,118
316979,119,109,118
316999,119,109,118
317030,119,109,118
317164,119,109,118
317341,119,109,118
317364,119,109,118
317502,119,109,118
317520,119,109,118
317640,119,109,118
317709,119,109,118
317775,119,109,118
317988,119,109,118
318061,119,109,118
318272,119,109,118
318290,119,109,118
318392,119,109,118
318544,119,109,118
318594,119,109,118
318733,119,109,118
318955,119,109,118
318980,119,109,118
319023,119,109,118
319077,119,109,118
319172,119,109,118
319656,119,109,118
319815,119,109,118
319884,119,109,118
319961,119,109,118
319972,119,109,118
320005,119,109,118
320046,119,109,118
320130,119,109,118
320250,119,109,118
320344,119,109,118
320389,119,109,118
320472,119,109,118
320550,119,109,118
320692,119,109,118
320860,119,109,118
320941,119,109,118
321084,119,109,118
321182,119,109,118
321501,119,109,118
321587,119,109,118
321614,119,109,118
321701,119,109,118
321758,119,109,118
321979,119,109,118
322065,119,109,118
322235,119,109,118
322371,119,109,118
322451,119,109,118
322667,119,109,118
322736,119,109,118
322842,119,109,118
322894,119,109,118
323007,119,109,118
323046,119,109,118
323137,119,109,118
323214,119,109,118
323573,119,109,118
323664,119,109,118
323717,119,109,118
324379,119,109,118
324440,119,109,118
324494,119,109,118
324646,119,109,118
324665,119,109,118
324681,119,109,118
324959,119,109,118
324985,119,109,118
325292,119,109,118
325312,119,109,118
325323,119,109,118
325369,119,109,118
325429,119,109,118
325461,119,109,118
325529,119,109,118
325681,119,109,118
325723,119,109,118
325801,119,109,118
325831,119,109,118
326102,119,109,118
326135,119,109,118
326212,119,109,118
326413,119,110,118
326566,119,110,118
326790,119,110,118
326862,119,110,118
326967,119,110,118
326992,119,110,118
327233,119,110,118
327336,119,110,118
327534,119,110,118
327600,119,110,118
327640,119,110,118
327715,119,110,118
327939,119,110,118
328050,119,110,118
328192,119,110,118
328426,119,110,118
328859,119,110,118
328985,119,110,118
329095,119,110,118
329107,119,110,118
329151,119,110,118
329717,119,110,118
329808,119,110,118
329838,119,110,118
329896,119,110,118
329912,119,110,118
329991,119,110,118
330032,119,110,118
330272,119,110,118
330317,119,110,118
330393,119,110,118
330428,119,110,118
330585,119,110,118
330746,119,110,118
330773,119,110,118
331035,119,110,118
331064,119,110,118
331125,119,110,118
331524,119,110,118
331613,119,110,118
331685,119,110,118
331837,119,110,118
331922,119,110,118
331973,119,110,118
332079,119,110,118
332203,119,110,118
332437,119,110,118
332512,119,110,118
332674,119,110,118
332706,119,110,118
332914,119,110,118
333173,119,110,118
333192,119,110,118
333207,119,110,118
333273,119,110,118
333295,119,110,118
333361,119,110,118
333425,119,110,118
333509,119,110,118
333662,119,110,118
333682,119,110,118
333935,119,110,118
334047,119,110,118
334105,119,110,118
334172,119,110,117
334194,119,110,117
334273,119,110,117
334551,119,110,117
334574,119,110,117
334667,119,110,117
334717,119,110,117
334973,119,110,117
335178,119,110,117
335207,119,110,117
335529,119,110,117
335654,119,110,117
335677,119,110,117
335739,119,110,117
335891,119,110,117
335937,119,110,117
335998,119,110,117
336020,119,110,117
336040,119,110,117
336095,119,110,117
336189,119,110,117
336265,119,110,117
336508,119,110,117
336548,119,110,117
336718,119,110,117
336835,119,110,117
336953,119,110,117
336971,119,110,117
337007,119,110,117
337031,119,110,117
337253,119,110,117
337420,119,110,117
337462,119,110,117
337520,119,110,117
337733,119,110,117
337835,119,110,117
337870,119,110,117
338153,119,110,117
338183,119,110,117
338205,119,110,117
338255,119,110,117
338518,119,110,117
338585,119,110,117
338746,119,110,117
338850,119,110,117
338966,119,110,117
339141,119,110,117
339212,119,110,117
339323,119,110,117
339609,119,110,117
339696,119,110,117
339731,119,110,117
340015,119,110,117
340094,119,110,117
340147,119,110,117
340439,119,110,117
340525,119,110,117
340573,119,110,117
340665,119,110,117
340694,119,110,117
340742,119,110,117
340888,119,110,117
340981,119,110,117
341151,119,110,117
341305,119,110,117
341390,119,110,117
341456,119,110,117
341502,119,110,117
341714,119,110,117
341978,119,110,117
342005,119,110,117
342043,119,110,117
342061,119,110,117
342096,119,110,117
342115,119,110,117
342202,119,110,117
342289,119,110,117
342514,119,110,117
342578,119,110,117
342619,119,110,117
342658,119,110,117
342754,119,110,117
342795,119,110,117
342805,119,110,117
342859,119,110,117
343171,119,110,117
343257,119,110,117
343340,119,110,117
343355,119,110,117
343389,119,110,117
343441,119,110,117
343540,119,110,117
343634,119,110,117
343670,119,110,117
343731,119,110,117
343776,119,110,117
343860,119,110,117
343910,119,110,117
343998,119,110,117
344010,119,110,117
344050,119,110,117
344184,119,110,117
344385,119,110,117
344413,119,110,117
344431,119,110,117
344462,119,110,117
344504,119,110,117
344541,119,110,117
344555,119,110,117
344801,119,110,117
345093,119,110,117
345112,119,110,117
345168,119,110,117
345390,119,110,117
345457,119,110,117
345493,119,110,117
345512,119,110,117
345527,119,110,117
345622,119,110,117
345800,119,110,117
345898,119,110,117
345999,119,110,117
346025,119,110,117
346050,119,110,117
346075,119,110,117
346089,119,110,117
346210,119,110,117
346245,119,110,117
346258,119,110,117
346333,119,110,117
346501,119,110,117
346646,119,110,117
346683,119,110,117
346872,119,110,117
346909,119,110,117
347005,119,110,117
347036,119,110,117
347138,119,110,117
347194,119,110,117
347208,119,110,117
347298,119,110,117
347367,119,110,117
347434,119,110,117
347455,119,110,117
347532,119,110,117
347593,119,110,117
347640,119,110,117
347663,119,110,117
347697,119,110,117
347713,119,110,117
347756,119,110,117
347964,119,110,117
348030,119,110,117
348060,119,110,117
348073,119,110,117
348142,119,110,117
348203,119,110,117
348257,119,110,117
348408,119,110,117
348486,119,110,117
348519,119,110,117
348575,119,110,117
348633,119,110,117
348682,119,110,117
348703,119,110,117
348900,119,110,117
348987,119,110,117
349008,119,110,117
349265,119,110,117
349289,119,110,117
