Timesteps,75% Efficiency: (0.75),85% Efficiency: (0.85),95% Efficiency: (0.95)
415356,-161.2100067,-102.9800034,-75.23999786
416348,-144.2200012,-105.8600006,-71.02999878
417188,-146,-105.4599991,-73.61000061
418455,-144.3699951,-104.3000031,-66.08999634
419339,-147.5299988,-105.3099976,-64.30999756
420695,-143.4199982,-108.1500015,-70.01000214
421115,-139.8999939,-106.2900009,-73.02999878
422196,-139.0399933,-97.76999664,-71.62000275
423161,-124.8899994,-96.33999634,-71.26000214
424141,-128.0800018,-98.86000061,-73.08000183
425442,-122.2399979,-89.30000305,-77.27999878
426292,-124.1500015,-87.61000061,-69.94999695
427037,-121.1900024,-73.80999756,-55.50999832
428261,-125.1399994,-79.87999725,-56.15999985
429029,-130.2899933,-86.13999939,-54.38999939
430841,-126.9100037,-85.72000122,-46.65999985
431348,-131.5500031,-86.19999695,-50.88000107
432649,-125.4300003,-88.08000183,-55.83000183
433529,-129.1600037,-89.34999847,-54.68000031
434274,-124.3799973,-81.84999847,-59.91999817
435722,-126.0699997,-85.01999664,-57.47000122
436058,-134.1499939,-92.18000031,-61.84999847
437774,-135.2700043,-77.22000122,-60.77999878
438400,-138.0599976,-78.69000244,-65.63999939
439478,-147.1300049,-70.19000244,-62.5
440099,-148.0299988,-67.09999847,-59.52000046
441110,-149.2200012,-78.87000275,-64.36000061
443075,-157.3899994,-79.68000031,-68.76000214
444413,-157.0099945,-80,-69.91000366
445582,-153.8999939,-76.55000305,-60.95000076
446732,-148.0800018,-75.72000122,-61.65999985
447424,-152.3999939,-78.56999969,-59.84000015
448412,-152.3399963,-82.48000336,-52.79000092
449113,-147.25,-86.62000275,-49.25
,,-91.48000336,-55.02999878
,,-88.93000031,-57.06000137
,,-91.65000153,-54.81999969
,,-93.11000061,-52.11999893
,,-92.63999939,-52.90999985
,,-92.80000305,-53.40000153
,,-96.44000244,-57.33000183
,,-91.81999969,-56.61000061
,,-92.19000244,-58.91999817
,,-98.68000031,-60
,,-87.38999939,-66.75
,,-91.81999969,-70.06999969
,,-90.72000122,-73.90000153
,,-92.80999756,-70.37000275
,,-95.98000336,-69.69000244
,,-97.11000061,-65.51999664
,,-94.83000183,-59.79999924
,,-91.62999725,-57.31000137
,,-86.09999847,-52.75999832
,,,-53.86000061
,,,-54.45999908
,,,-53.40000153
,,,-60.81999969
,,,-54.59999847
,,,-50.95000076
,,,-50.5
,,,-52.33000183
,,,-48.99000168
,,,-46.31999969
,,,-48.61000061
,,,-47.91999817
,,,-47.00999832
,,,-50.29000092
,,,-52.61999893
,,,-48.25
,,,-47.97999954
,,,-47.59999847
,,,-45.40000153
,,,-49.13999939
,,,-54.45000076
,,,-55.16999817
,,,-58.00999832
,,,-65.80000305
,,,-53.40999985
,,,-49.81000137
,,,-50.86999893
,,,-40.22000122
,,,-42.20000076
,,,-45.47000122
,,,-43.04000092
,,,-48.86999893
,,,-47.20000076
,,,-47.99000168
,,,-38.90000153
,,,-35.66999817
,,,-41.36000061
,,,-42.15000153
,,,-44.29999924
,,,-50.18999863
,,,-53.81000137
,,,-45.66999817
,,,-47.11999893
,,,-49.36000061
,,,-52.08000183
,,,-46.31999969
,,,-43.41999817
,,,-48.52000046
