Timesteps,75% Efficiency: (0.75),85% Efficiency: (0.85),95% Efficiency: (0.95)
340197,-41.20000076,-13.78999996,-6.21999979
341639,-42.38000107,-17.56999969,-6.28000021
343146,-44.68999863,-18.23999977,-12.10999966
344387,-47.22000122,-15.19999981,-8.600000381
345104,-53.20999908,-13.40999985,-4.840000153
346892,-53.83000183,-15.43999958,-5.420000076
347273,-60.84999847,-14.5,-7.769999981
348013,-58.25999832,-16.28000069,-5.760000229
349742,-52.15999985,-22.40999985,-5.630000114
350176,-52.88000107,-20.70000076,-4.610000134
351304,-52.68000031,-15.81000042,-5.159999847
352578,-47.59000015,-18.12999916,-5.199999809
353403,-53.63999939,-19.54000092,-4.96999979
354531,-57.5,-17.21999931,-5.130000114
355218,-56.77999878,-15.86999989,-4.800000191
356004,-57.27000046,-13.21000004,-10.35000038
357034,-56.59999847,-14.77000046,-7.679999828
359459,-47.54000092,-16.11000061,-11.57999992
360056,-45.18999863,-12.21000004,-7.980000019
361902,-44.81999969,-13.64999962,-5.420000076
362705,-42.31000137,-10.73999977,-4.809999943
363717,-41.09000015,-13.89000034,-5.119999886
364673,-34.65999985,-11.68999958,-4.539999962
365768,-40.88999939,-10.93000031,-4.75
366095,-43.02999878,-12.47999954,-4.840000153
367584,-43.97999954,-13.98999977,-5.090000153
368317,-47.43000031,-13.22999954,-4.989999771
369091,-51.13000107,-15.35999966,-5.110000134
370994,-46.43000031,-14.18999958,-5.369999886
371655,-45.11999893,-21.94000053,-5.889999866
372268,-47.20000076,-23.52000046,-4.800000191
373005,-48.65999985,-18.29999924,-6.150000095
374432,-50.54999924,-19.87000084,-4.860000134
375667,-54.45999908,-21.45999908,-5.429999828
376514,-51.04000092,-19.17000008,-5.019999981
378471,-54.45000076,-14.90999985,-5.320000172
379390,-50.81999969,-17.79999924,-5
380374,-50.34999847,-17.48999977,-4.829999924
381399,-46.63999939,-13.78999996,-4.639999866
382716,-46.41999817,-17.56999969,-4.940000057
383657,-45.31000137,-18.23999977,-5.090000153
384773,-45.40000153,-15.19999981,-5.090000153
385650,-43.40000153,-13.40999985,-4.940000057
386894,-41.20000076,-15.43999958,-5.400000095
387652,-42.38000107,-14.5,-4.929999828
388018,-44.68999863,-16.28000069,-7.230000019
389152,-47.22000122,-22.40999985,-5.079999924
390186,-53.20999908,-20.70000076,-5.349999905
391709,-53.83000183,-15.81000042,-6.579999924
392219,-60.84999847,-18.12999916,-5.099999905
393295,-58.25999832,-19.54000092,-5.96999979
394566,-52.15999985,-17.21999931,-4.929999828
395062,-52.88000107,-15.86999989,-5.349999905
396279,-52.68000031,-13.21000004,-5.309999943
397511,-47.59000015,-14.77000046,-6.25
398856,-53.63999939,-16.11000061,-5.860000134
399823,-57.5,-12.21000004,-4.949999809
400724,-56.77999878,-13.64999962,-5.550000191
401559,-57.27000046,-10.73999977,-5.429999828
402148,-56.59999847,-13.89000034,-11.81000042
403831,-47.54000092,-11.68999958,-10.80000019
404271,-45.18999863,-10.93000031,-7.019999981
405392,-44.81999969,-12.47999954,-5.230000019
406206,-42.31000137,-13.98999977,-5.340000153
407019,-41.09000015,-13.22999954,-4.989999771
408058,-34.65999985,-15.35999966,-5.579999924
409844,-40.88999939,-14.18999958,-7.119999886
410279,-43.02999878,-21.94000053,-5.449999809
411629,-43.97999954,-23.52000046,-6.949999809
412318,-47.43000031,-18.29999924,-7.320000172
413087,-51.13000107,-19.87000084,-6.239999771
414011,-46.43000031,-21.45999908,-5.710000038
415356,-45.11999893,-19.17000008,-8.869999886
416348,-47.20000076,-14.90999985,-6.320000172
417188,-48.65999985,-17.79999924,-6.300000191
418455,-50.54999924,-17.48999977,-5.25
419339,-54.45999908,-13.78999996,-8.199999809
420695,-51.04000092,-17.56999969,-5.670000076
421115,-54.45000076,-18.23999977,-6.21999979
422196,-50.81999969,-15.19999981,-6.28000021
423161,-50.34999847,-13.40999985,-12.10999966
424141,-46.63999939,-15.43999958,-8.600000381
425442,-46.41999817,-14.5,-4.840000153
426292,-45.31000137,-16.28000069,-5.420000076
427037,-45.40000153,-22.40999985,-7.769999981
428261,-43.40000153,-20.70000076,-5.760000229
429029,-41.20000076,-15.81000042,-5.630000114
430841,-42.38000107,-18.12999916,-4.610000134
