Date,bost_amst_in,bost_amst_out,lond_newy_in,lond_newy_out,cern-513_wash_in,cern-513_wash_out
2018-01-10 20:00:00,5271596837,8203009597,12179031920,1496853016,10146057511,4747963285
2018-01-10 21:00:00,4296946966,9095321443,12013104114,1578483637,11551419576,1766042525
2018-01-10 22:00:00,3857265325,7499795869,10741518526,1193972058,9470123387,1257939725
2018-01-10 23:00:00,5436437879,5816114746,19075582784,4767481554,11151526299,1437504056
2018-01-11 0:00:00,4678576289,5946805693,9981276620,2798488128,6149414165,1526033434
2018-01-11 1:00:00,3611228144,6077396939,12637454553,5527378964,8253492847,6005332165
2018-01-11 2:00:00,2676716250,5511775838,20139635106,1251346825,7320904366,1112688932
2018-01-11 3:00:00,4036398440,5334387926,19485089836,1410886444,2041815302,947281103.5
2018-01-11 4:00:00,3941596263,5575618179,16300009282,1797828428,1454430513,3830845090
2018-01-11 5:00:00,3230200498,5246210140,13349010527,2081842139,2199494258,2807317498
2018-01-11 6:00:00,3011783582,5083568838,9347440131,1828879061,2413177806,2012397504
2018-01-11 7:00:00,4154947355,4892905892,10103044619,1428176001,766485167.5,6588868316
2018-01-11 8:00:00,3181581138,4919868881,14534136967,1511246838,1231638285,10124655052
2018-01-11 9:00:00,4209719676,5209880598,12996669379,1670248735,3042996461,4598713384
2018-01-11 10:00:00,8516494881,4359895861,10211473518,1936540938,2042146487,5027733397
2018-01-11 11:00:00,6310983563,4163631908,11236504331,2048792498,2949324748,5178370768
2018-01-11 12:00:00,3191581508,2557687762,6569241091,1811142717,3523481752,2796826504
2018-01-11 13:00:00,2814395165,2855871768,8690895669,1490578910,1871898002,977316182.1
2018-01-11 14:00:00,2254998329,5849505222,5228028230,1591438155,1401328186,590118024.1
2018-01-11 15:00:00,5382605603,6176817118,6718119045,2261881564,1636862064,8153257129
2018-01-11 16:00:00,5934707407,9292948363,8153311686,5197654643,4678829783,1838331433
2018-01-11 17:00:00,6408781150,7903860502,7484782531,6758358831,7345324378,5688373703
2018-01-11 18:00:00,6399668739,5273487060,8732766437,6437662574,6834887314,3747157119
2018-01-11 19:00:00,6958612864,4171478156,8849790009,4889274479,3848533486,1448481944
2018-01-11 20:00:00,8661965044,7366894006,10196480281,4765351779,2071354962,3049643678
2018-01-11 21:00:00,9245210409,9003327606,9100931083,4564212259,2555061181,2685825817
2018-01-11 22:00:00,8358818383,7044912241,9940392257,6978945392,1702690501,3176982281
2018-01-11 23:00:00,9747991279,6891938851,4262933686,6158267528,1439111082,2368333194
2018-01-12 0:00:00,10210489116,8936496716,4382422184,6367608160,831481244.7,1574741947
2018-01-12 1:00:00,2465250941,4652156232,1995817384,4437821186,940038221.2,4202004167
2018-01-12 2:00:00,3826837684,2605835760,2101778187,5182707730,791054555.2,3819154488
2018-01-12 3:00:00,5311305370,4911771820,1459798734,8455965854,1417279394,2665217837
2018-01-12 4:00:00,2446153160,6419563195,4721214984,7341531167,881956527,2806988679
2018-01-12 5:00:00,2260767032,2720167406,7036628138,5223593006,944903916.3,768313669.2
2018-01-12 6:00:00,1814200395,5097093022,9705763773,7748709677,832277572.2,1117548079
2018-01-12 7:00:00,2019326365,5391413280,3754108871,10582234664,682194195.5,1431923609
2018-01-12 8:00:00,2233993722,9444661154,2070694374,11311204980,1824192485,3686101446
2018-01-12 9:00:00,4496506986,8096845747,3426074325,10682789759,6207749849,16560655445
2018-01-12 10:00:00,2281816246,9860504242,1838970484,9441383607,2094491627,10474591185
2018-01-12 11:00:00,2496308960,11794181558,748799451.6,8807055017,1085729299,11054386790
2018-01-12 12:00:00,2660012866,7868802206,821855630.2,9339123689,3460456166,8443573708
2018-01-12 13:00:00,2888626895,9165241395,953195156,8616926352,3415062226,8036285414
2018-01-12 14:00:00,2467205000,2720629741,1400051873,9921121097,10258872602,9412647849
2018-01-12 15:00:00,1345238013,862596864.2,1788345362,9545061366,7687868828,7588279281
2018-01-12 16:00:00,63617.24985,41973063.25,808769811.5,12452123867,3052488942,2667946638
2018-01-12 17:00:00,33612306279,33612304892,1022436991,10954273264,2426000454,2706914349
2018-01-12 18:00:00,13969.68511,12705.96422,4526423185,10260885937,3379597938,1925447937
2018-01-12 19:00:00,13984.78342,12605.29928,5484422680,10083420887,2240530482,2099088910
2018-01-12 20:00:00,13978.76372,12668.55842,745965063.6,10202318113,1055359466,1800307725
2018-01-12 21:00:00,2873186794,2070665708,1157833750,9634245592,2143856133,2057937032
2018-01-12 22:00:00,3563338726,3836723141,990409240.7,10827612829,3023123502,3674807473
2018-01-12 23:00:00,2384257406,3082589268,1560365234,9896869594,1119806858,2674640965
2018-01-13 0:00:00,2435138799,3305940090,1067900646,9460678538,2553325366,3433201374
2018-01-13 1:00:00,2179878200,1820031202,1538749529,7989349556,2023445150,6152803969
2018-01-13 2:00:00,1851268025,2156021307,926294949.4,8945122767,4281121742,14849196186
2018-01-13 3:00:00,1539457843,2352970771,1244088182,3644684250,6042980900,7575718421
2018-01-13 4:00:00,1606610234,3029024360,1158490230,5205750225,6653116956,7365046039
2018-01-13 5:00:00,3896748187,3073369137,939688475.9,9316912163,7056967451,3656566880
2018-01-13 6:00:00,2686076658,4817182065,1577968290,7953373568,5443289207,8698528410
2018-01-13 7:00:00,2455211651,3445291211,4455776498,7839697719,3895888324,7611794356
2018-01-13 8:00:00,3586199763,5004686601,5507529701,9181649625,6311122194,5801633554
2018-01-13 9:00:00,4721191325,3801817670,1228179099,12076401634,7130098172,7375411006
2018-01-13 10:00:00,3535763044,2426390995,1425898190,9510128867,8436484744,10535539862
2018-01-13 11:00:00,4005293761,3018416828,1373816052,11215001818,5983409712,4689957955
2018-01-13 12:00:00,2846065009,2396716944,1337231464,8894764860,3963673193,8120028342
2018-01-13 13:00:00,1722961380,2244116873,1237953785,6107078638,5701485987,11029245560
2018-01-13 14:00:00,1872788561,4882284750,1094328867,9643389845,4445215539,9059241298
2018-01-13 15:00:00,1879120368,4060126268,2467280508,9734562033,4987730965,11310315213
